"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"clan/what_is_clan";"Players join Squadrons to play together and to communicate with one another.";"Les joueurs rejoignent les escadrons pour jouer ensemble et communiquer entre eux.";"I giocatori entrano in squadriglie per giocare insieme e comunicare con gli altri.";"Spieler gründen und treten Kampfgruppen bei, um miteinander spielen und besser untereinander kommunizieren zu können.";"Los jugadores pueden unirse a escuadrones para jugar juntos y comunicarse unos con otros.";"Игроки объединяются в полки, чтобы вместе играть и общаться.";"Gracze dołączają do Dywizjonu w celu wspólnej gry i komunikacji między sobą.";"Os jogadores juntam-se a esquadrões para jogarem juntos e comunicar uns com os outros.";"Oyuncular diğer oyuncularla takım halinde oynamak, yazışmak, bilgi paylaşmak, turnuva ve filo savaşlarına katılmak için filolara katılır.";"플레이어는 비행대에 가입하여 다른 플레이어들과 교류하거나 함께 게임을 할 수 있습니다.";"联\t队\t是\t将\t玩\t家\t组\t织\t在\t一\t起\t共\t同\t游\t戏、\t相\t互\t交\t流\t的\t团\t体。";"部隊に\t参加する\tプレイヤーは\t共に\t協力し、\t互いに\tコミュニケーションを\t取ります。";"聯\t隊\t是\t將\t玩\t家\t組\t織\t在\t一\t起\t共\t同\t遊\t戲、\t相\t互\t交\t流\t的\t團\t體";;
"clan/how_to_get_membership";"To apply for membership in a Squadron, go to the ""Squadrons"" tab, select the Squadron you want to join, and click the ""Apply for Membership"" button.
Attention: no refund after disbanding the Squadron.";"Pour faire acte de candidature dans un escadron, allez dans l'onglet « Escadrons », sélectionnez l'Escadron que vous souhaitez joindre et cliquez sur le bouton « Appliquer pour l'adhésion ».";"Per entrare in una squadriglia, vai alla scheda ""Squadriglie"", seleziona la squadriglia desiderata e fai clic sul pulsante ""Iscriviti"".";"Um dich für die Mitgliedschaft in einer Kampfgruppe zu bewerben, navigiere zum ""Kampfgruppen“-Reiter und wähle die Kampfgruppe aus, der du beitreten möchtest. Klicke dann den ""Bewerben""-Knopf.";"Para solicitar ser miembro de un escuadrón, ve a la pestaña ""Escuadrones"", selecciona el escuadrón al que quieres unirte y haz clic en el botón ""Solicitar membresía"".";"Чтобы подать заявку на вступление в полк, перейдите во вкладку ""Полки"", выберите полк, в который хотите вступить, и нажмите на кнопку ""Подать заявку"".
Внимание: при роспуске полка Золотые орлы возвращены не будут.";"Aby dołączyć do dywizjonu, otwórz menu ""Dywizjony"", wybierz dywizjon do którego chcesz dołączyć, a następnie kliknij przycisk ""Dołącz do Dywizjonu"".";"Para se candidatar a um esquadrão, vá para a aba ""Esquadrões"", selecione o esquadrão a que quer juntar e clique no botão ""Aplicar para adesão"".";"Bir filoya üyelik başvurusunda bulunmak için ""Filolar"" sekmesinden katılmak istediğiniz takımı seçin ve ""Üyelik Başvurusu"" düğmesine tıklayın. Dikkat: başka bir filonun kurucusuysanız filonuz silinir ve filo kurulum ücreti iade edilmez.";"비행대에 가입하고 싶다면, ""비행대"" 탭을 누른 다음 가입하고 싶은 비행대를 고르고, ""전입신청"" 버튼을 누르십시오.
주의 : 비행대를 해산하면 창설 비용은 반환되지 않습니다.";"欲\t申\t请\t加\t入\t一\t个\t联\t队，\t请\t切\t换\t至\t“联\t队\t列\t表”\t标\t签\t查\t看\t相\t关\t信\t息。\t选\t中\t心\t仪\t的\t联\t队\t后，\t点\t击\t“申\t请\t加\t入\t联\t队”\t按\t钮\t即\t可。";"部隊へ\t加入するには、\t「部隊」\tタブを\t開いて\t加入した\t部隊を\t選択し、\t[入隊を\t申し\t込む] ボタンと\tクリックします。\t
注: 部隊解散後の\t返金はありません。";"欲\t申\t請\t加\t入\t一\t個\t聯\t隊，\t請\t切\t換\t至\t“聯\t隊\t列\t表”\t標\t籤\t查\t看\t相\t關\t信\t息。\t選\t中\t心\t儀\t的\t聯\t隊\t後，\t點\t擊\t“申\t請\t加\t入\t聯\t隊”\t按\t鈕\t即\t可。";;
"clan/reques_to_clan_sent";"You've applied for membership in the Squadron:";"Vous avez demandé à devenir membre de l'escadron :";"Avete richiesto di entrare nella Squadriglia:";"Du hast dich für die Mitgliedschaft in folgender Kampfgruppe beworben:";"Has solicitado ser miembro del escuadrón:";"Вы отправили запрос в полк:";"Wysłałeś zgłoszenie o członkostwo do dywizjonu:";"Você aplicou-se para a adesão ao esquadrão:";"Üye olmak için başvuruda bulunduğunuz filo:";"전입신청을 제출했습니다:";"已\t申\t请\t加\t入\t联\t队：";"部隊への\t入隊を\t申込みました:";"你\t已\t經\t申\t請\t加\t入\t聯\t隊：";;
"clan/btnDismissMember";"Dismiss the Member";"Rejeter le membre";"Rimuovi il Membro";"Mitglied verweisen";"Expulsar al miembro";"Исключить из полка";"Wydal członka";"Destituir o membro";"Üyeyi Sil";"부대원 방출";"开\t除\t队\t员";"メンバーを\t除名";"踢\t除\t隊\t員";;
"clan/memberDismissed";"The player has been dismissed from the Squadron";"Le joueur a été renvoyé de l'Escadron";"Il pilota è stato escluso dalla squadriglia";"Der Spieler wurde aus der Kampfgruppe verwiesen";"El jugador ha sido expulsado del escuadrón";"Игрок исключён из полка";"Gracz został wyrzucony z Dywizjonu";"O jogador foi dispensado do esquadrão";"Oyuncu filodan çıkarıldı";"해당 플레이어가 부대에서 방출되었습니다.";"已\t将\t玩\t家\t从\t联\t队\t中\t开\t除。";"プレイヤーは\t部隊から\t除名されました。";"已\t將\t玩\t家\t從\t聯\t隊\t中\t踢\t出";;
"clan/btnLeaveClan";"Leave the Squadron";"Quitter l'Escadron";"Lascia la Squadriglia";"Kampfgruppe verlassen";"Dejar el escuadrón";"Покинуть полк";"Odejdź z Dywizjonu";"Deixar o esquadrão";"Filodan Ayrıl";"부대 탈퇴";"退\t出\t联\t队";"部隊を\t去る";"退\t出\t聯\t隊";;
"clan/leaveConfirmation";"Do you really want to leave this Squadron? All earned activity will be reset.
Attention: unobtained reward for the current season of squadron battles will not be accrued.";"Voulez-vous vraiment quitter cet escadron ? Toute l'activité gagnée sera réinitialisée.
Attention: les récompenses non obtenues pour la saison en cours des batailles d'escadrons ne seront pas cumulées.";"Vuoi davvero lasciare questa squadriglia? Tutte le attività ottenute verranno azzerate.
Attenzione: i premi non ottenuti nella stagione attuale delle Battaglie tra Squadriglie non saranno accumulati.";"Möchtest du die Kampfgruppe wirklich verlassen?";"¿Estás seguro de que quieres abandonar este escuadrón?";"Вы действительно хотите покинуть полк? Вся заработанная активность обнулится.
Внимание: ещё не полученная награда за текущий сезон полковых боёв начислена не будет.";"Czy naprawdę chcesz opuścić ten Dywizjon? Cała aktywność zostanie zresetowana.";"Você quer realmente deixar este esquadrão? Todas as atividades ganhas serão zeradas. 
Atenção: recompensas não conquistadas na temporada de batalhas de esquadrão atual não serão obtidas.";"Bu filodan gerçekten ayrılmak istiyor musunuz? Kazanılan bütün aktivite sıfırlanacak.
Dikkat: şuanki filo savaşları sezonu için alınmamış ödül verilmeyecektir.";"부대를 떠나시겠습니까?";"确\t定\t要\t退\t出\t联\t队\t吗？\t已\t获\t得\t的\t活\t跃\t度\t将\t会\t清\t零。
警\t告：\t尚\t未\t获\t得\t的\t联\t队\t战\t奖\t励\t将\t消\t失。";"部隊を\t去ってしまってよろしいですか？";"確\t定\t要\t退\t出\t聯\t隊\t嗎？\t已\t獲\t得\t的\t活\t躍\t度\t將\t會\t清\t零。
警\t告：\t尚\t未\t獲\t得\t的\t聯\t隊\t戰\t獎\t勵\t將\t消\t失。";;
"clan/leftClan";"You have left the Squadron";"Vous avez quitté l'Escadron";"Hai lasciato la squadriglia";"Du hast die Kampfgruppe verlassen";"Has abandonado el escuadrón";"Вы покинули полк";"Opuściłeś Dywizjon";"Você deixou o esquadrão";"Filodan ayrıldınız";"부대에서 탈퇴하였습니다.";"已\t退\t出\t联\t队";"部隊を\t去りました";"你\t離\t開\t了\t聯\t隊";;
"clan/btnChangeRole";"Change the Grade";"Changer le Grade";"Modifica il grado";"Kampfgruppenrang ändern";"Cambiar el Rango";"Сменить звание";"Zmień rangę";"Alterar a classe";"Kademeyi Değiştir";"계급 변경";"修\t改\t军\t阶";"階級を\t変更";"變\t更\t軍\t階";;
"clan/changeRoleTitle";"Choose a new grade for";"Choisir un nouveau grade pour";"Seleziona un nuovo grado per";"Neuen Kampfgruppenrang festlegen für";"Elija un nuevo rango para";"Выберите новое звание для";"Wybierz nową rangę dla";"Escolher uma nova classe para o";"Yeni bir kademe seç";"다음 사람에게 새로운 계급을 지정하십시오:";"选\t择\t新\t军\t阶\t赋\t予\t玩\t家";"新たな\tグレードを\t選択:";"選\t擇\t新\t軍\t階\t賦\t予\t玩\t家";;
"clan/roleChanged";"Grade changed to";"Grade changé vers";"Grado cambiato in";"Kampfgruppenrang geändert auf";"Rango cambiado a";"Звание изменено на";"Ranga zmieniona na";"Classe alterada para";"Kademe değiştirildi:";"다음으로 계급이 바뀌었습니다:";"军\t阶\t变\t更\t为";"階級変更:";"軍\t階\t變\t更\t為";;
"clan/roleRights";"Grade Rights:";"Droits du grade :";"Diritti di grado:";"Kampfgruppenrang-Rechte:";"Derechos del Rango:";"Права данного звания:";"Uprawnienia rangi:";"Direitos da classe:";"Kademe Hakları:";"계급 권한:";"军\t阶\t权\t限：";"階級の\t権利:";"軍\t階\t權\t限：";;
"clan/currentRole";"Current Grade";"Grade actuel";"Grado attuale";"Momentaner Kampfgruppenrang";"Rango actual";"Текущее звание";"Aktualna ranga";"Classe atual";"Şuanki Kademe";"현재 계급";"当\t前\t军\t阶";"現在の\t階級";"當\t前\t軍\t階";;
"clan/noRights";"No Special Rights";"Aucun droit spécial";"Nessun diritto speciale";"Keine Sonderbefugnisse";"No hay derechos especiales";"Нет специальных прав";"Brak specjalnych uprawnień";"Não há direitos especiais";"Hiçbir Özel Hak Yok";"특별한 권한이 없습니다";"无\t特\t殊\t权\t限";"特別な\t権利なし";"無\t特\t殊\t權\t限";;
"clan/MEMBER_ADDING_right";"Accept Membership Applications";"Accepter les demandes d'adhésion";"Accettare le domande di iscrizione";"Mitgliedschaftsanträge akzeptieren";"Aceptar solicitudes de membresía";"Принимать заявки на вступление";"Zatwierdź aplikację członkowską";"Accept Membership Applications";"Üyelik Başvurularını Kabul Et";"전입신청 수락";"批\t准\t入\t队\t申\t请";"入隊申込を\t受け\t入れる";"批\t准\t入\t隊\t申\t請";;
"clan/MEMBER_REJECT_right";"Reject Membership Applications";"Rejeter les demandes d'adhésion";"Respingere le domande di iscrizione";"Mitgliedschaftsanträge ablehnen";"Rechazar las solicitudes de membresía";"Отклонять заявки на вступление";"Odrzuć aplikację członkowską";"Rejeitar pedidos de adesão";"Üyelik Başvurularını Reddet";"전입신청 거부";"驳\t回\t入\t队\t申\t请";"入隊申込を\t断る";"拒\t絕\t入\t隊\t申\t請";;
"clan/MEMBER_DISMISS_right";"Dismiss from Squadron";"Ecarter de l'escadron";"Allontanare dalla Squadriglia";"Aus der Kampfgruppe verweisen";"Expulsar del escuadrón";"Исключать из полка";"Wyrzuć z Dywizjonu";"Demitir-se do esquadrão";"Filodan At";"부대에서 방출";"从\t联\t队\t中\t开\t除";"部隊から\t除名する";"從\t聯\t隊\t中\t踢\t出";;
"clan/MEMBER_ROLE_CHANGE_right";"Change the Grade";"Changer le Grade";"Modifica il grado";"Kampfgruppenrang ändern";"Cambiar el Rango";"Изменять звание";"Zmień rangę";"Alterar a classe";"Kademeyi Değiştir";"계급 변경";"修\t改\t军\t阶";"階級を\t変更";"變\t更\t軍\t階";;
"clan/MEMBER_BLACKLIST_right";"Add to Squadron Blacklist";"Ajouter à la liste noire de l'Escadron";"Aggiungi alla lista nera della Squadriglia";"Auf die Blockierliste der Kampfgruppe setzen";"Agregar a lista negra del escuadrón";"Добавлять в чёрный список полка";"Dodaj do Czarnej Listy Dywizjonu";"Adicionar à lista negra do esquadrão";"Filo Kara Listesine Ekle";"부대 차단목록에 추가";"添\t至\t联\t队\t黑\t名\t单";"部隊\tブラックリストに\t追加する";"增\t加\t到\t聯\t隊\t黑\t名\t單";;
"clan/LEADER_right";"Squadron Commander";"Commandant d'escadron";"Comandante di Squadriglia";"Der Befehlshaber der Kampfgruppe.";"Comandante del Clan";"Командир полка";"Dowódca Dywizjonu";"Comandante do Esquadrão";"Filo Komutanı";"비행대 대대장";"联\t队\t指\t挥\t官";"部隊長";"聯\t隊\t指\t揮\t官";;
"clan/CHANGE_INFO_right";"Edit Squadron Info and Membership Requirements";"Modifier les informations de l'Escadron et les prérequis d'adhésion";"Modifica le informazioni della Squadriglia e i Requisiti di Adesione";"Kampfgruppen-Info und Mitgliedsanforderungen bearbeiten";"Editar la información del escuadrón";"Редактировать информацию о полке и условия вступления";"Edytuj informację o Dywizjonie";"Editar informações do esquadrão";"Filo Bilgisini ve Üyelik Gereksinimlerini Düzenle";"비행대 정보 수정";"编\t辑\t联\t队\t信\t息\t和\t队\t员\t要\t求";"部隊情報を\t編集";"編\t輯\t聯\t隊\t資\t訊\t和\t隊\t員\t要\t求";;
"clan/DISBAND_right";"Disband Squadron";"Dissoudre l'escadron";"Sciogli la Squadriglia";"Kampfgruppe auflösen";"Desbandar el Escuadrón";"Распустить полк";"Rozwiąż Dywizjon";"Desfazer Esquadrão";"Filoyu terhis et";"비행대 해산";"解\t散\t联\t队";"部隊を\t解散します。";"解\t散\t聯\t隊";;
"clan/DEPUTY_right";"Squadron Deputy Commander (becomes a new squadron commander if current commander leaves the squadron)";"Commandant député de l'escadron (devient le nouveau commandant si l'ancien quitte l'escadron)";"Vice Comandante di Squadriglia (diventa il nuovo comandante se quello corrente abbandona la squadriglia)";"Der stellvertretende Befehlshaber der Kampfgruppe wird automatisch zum Befehlshaber ernannt, sollte der gegenwärtige Befehlshaber die Kampfgruppe verlassen.";"Subcomandante del Escuadrón (se convierte en el nuevo comandante si el comandante actual deja el escuadrón)";"Заместитель командира полка (становится командиром полка в случае выхода из полка текущего командира)";"Zastępca Dowódcy Dywizjonu (zostaje nowym dowódcą, jeśli obecny opuści dywizjon)";"Vice-Comandante do Esquadrão (torna-se o novo comandante do esquadrão se o atual sair do clã)";"Filo Komutanı Vekili";"비행대 부대대장";"联\t队\t副\t指\t挥\t官\t（当\t现\t任\t指\t挥\t官\t退\t队\t后\t将\t自\t动\t升\t职\t为\t指\t挥\t官）";"副隊長";"聯\t隊\t副\t指\t揮\t官\t(當\t現\t任\t指\t揮\t官\t退\t隊\t後\t將\t自\t動\t升\t職\t為\t指\t揮\t官)";;
"clan/WW_REGISTER_right";"World War: Join Squadron to the Operation";"World War: Rejoindre l'escadron dans l'opération";"Guerra Mondiale: Unisciti alla Squadriglia per l'Operazione";"Weltkrieg: Operation mit Kampfgruppe beitreten";"Editar requisitos de membresía";"Мировая война: присоединить полк к операции";"Wojna Światowa: Dołącz dywizjon do Operacji";"Guerra Mundial: Junte-se ao Esquadrão em Operação";"Dünya Savaşı: Operasyon için Filoya Katıl";"대원 요구사항 수정";"世\t界\t大\t战：\t通\t过\t联\t队\t加\t入\t军\t事\t行\t动";"入隊条件";"世\t界\t大\t戰: 加\t入\t聯\t隊\t開\t始\t行\t動";;
"clan/updateStatsTime";"For the last 14 days. Updated daily at %s";"Informations sur les 14 derniers jours. Mise à jour quotidienne à %s";"Ultimi 14 giorni. Aggiornato quotidianamente alle %s";"Informationen der letzten 14 Tage. Tägliche Aktualisierung um %s";"Para los últimos 14 días. Actualizado diariamente a las %s";"За последние 14 дней. Обновляется ежедневно в %s";"Informacje z ostatnich 14 dni. Aktualizowane codziennie o godz. %s";"Informações nos últimos 14 dias. Atualizado diariamente em %s";"Son 14 gün için bilgi. Her gün bu saatte güncellenir: %s";"지난 14일간의 정보이며 매일 %s에 갱신됩니다.";"两\t周\t内\t的\t统\t计\t信\t息。\t每\t日\t更\t新\t时\t间：%s";"過去 14 日間の\t情報。\t毎日 %s に\t更新";"兩\t周\t內\t的\t統\t計\t資\t訊，\t每\t日\t更\t新\t時\t間：%s";;
"clan/btnSaveClanInfo";"Apply the Changes";"Appliquer les modifications";"Applica le modifiche";"Änderungen anwenden";"Aplicar los cambios";"Сохранить изменения";"Zastosuj zmiany";"Aplicar as alterações";"Değişiklikleri Uygula";"변경 사항 적용";"应\t用\t更\t改";"変更を\t適用します。";"應\t用\t變\t更";;
"clan/btnSaveClanInfoPaid";"Apply the Changes (%s)";"Appliquer les modifications (%s)";"Applica le modifiche (%s)";"Änderungen anwenden (%s)";"Aplicar los cambios (%s)";"Сохранить изменения (%s)";"Zastosuj zmiany (%s)";"Aplicar as alterações (%s)";"(%s) Değişiklikleri Uygula";"변경 사항 적용 (%s)";"应\t用\t更\t改\t（%s）";"変更を\t適用します。\t (%s)";"應\t用\t變\t更 (%s)";;
"clan/edit_clan_wnd_title";"Editing Squadron Info";"Les infos de l'escadron sont éditées";"Modificando le info della Squadriglia";"Kampfgruppen-Info bearbeiten";"Editar información del escuadrón";"Редактирование полка";"Edytowanie Informacji o Dywizjonie";"Edição de informação do esquadrão";"Filo Bilgileri Düzenleniyor";"비행대 정보 수정";"编\t辑\t联\t队\t信\t息";"部隊情報の\t編集";"編\t輯\t聯\t隊\t資\t訊";;
"clan/upgrade_clan_wnd_title";"Upgrade Squadron";"Mise à niveau de l'escadron";"Aggiornamento Squadriglia";"Kampfgruppe hochstufen";"Ascender Escuadrón";"Улучшение полка";"Rozbuduj Dywizjon";"Atualizar o esquadrão";"Filoyu yükselt";"비행대 승격";"升\t级\t联\t队";"アップグレードされた\t部隊";"升\t級\t聯\t隊";;
"clan/edit_clan_success";"Squadron Info successfully changed";"Infos de l'Escadron modifiées avec succès";"Info della Squadriglia modificate correttamente";"Kampfgruppen-Info erfolgreich geändert";"Info del escuadrón cambiada correctamente";"Информация о полке успешно изменена";"Informacja o Dywizjonie zmieniona";"Squadron Info successfully changed";"Filo bilgileri başarıyla değiştirildi";"비행대 정보가 성공적으로 변경되었습니다.";"已\t成\t功\t修\t改\t联\t队\t信\t息";"部隊情報を\t変更しました";"已\t經\t成\t功\t修\t改\t聯\t隊\t資\t訊";;
"clan/upgrade_clan_success";"Squadron upgraded";"Escadron mis à niveau";"Squadriglia aggiornata";"Kampfgruppe hochgestuft";"Escuadrón ascendido";"Полк улучшен";"Dywizjon rozbudowany";"Esquadrão atualizado";"Filo yükseltildi";"비행대가 승격되었습니다.";"已\t成\t功\t升\t级\t联\t队";"部隊は\tアップグレードされました";"已\t成\t功\t升\t級\t聯\t隊";;
"clan/clanInfo";"Squadron Info";"Infos de l'escadron";"Informazioni della Squadriglia";"Kampfgruppen-Info";"Info del escuadrón";"Информация о полке";"Informacja o Dywizjonie";"Informações do esquadrão";"Filo Bilgileri";"비행대 정보";"联\t队\t信\t息";"部隊情報";"聯\t隊\t資\t訊";;
"clan/clanInfo/battalion";"Training squadron {clanName}";"Escadron d'entrainement {clanName}";"Squadriglia d'addestramento {clanName}";"Trainings-Kampfgruppe {clanName}";"Escuadrón de Entrenamiento {clanName}";"Учебный полк {clanName}";"Dywizjon Szkoleniowy {clanName}";"Esquadrão de Formação {clanName}";"Eğitim Filosu {clanName}";"훈련 비행대 {clanName}";"见\t习\t联\t队 {clanName}";"訓練部隊 {clanName}";"實\t習\t聯\t隊 {clanName}";;
"clan/clanInfo/normal";"Squadron {clanName}";"Escadron {clanName}";"Squadriglia {clanName}";"Kampfgruppe {clanName}";"Escuadrón {clanName}";"Полк {clanName}";"Dywizjon {clanName}";"Esquadrão {clanName}";"Filo {clanName}";"비행대 {clanName}";"正\t规\t联\t队 {clanName}";"部隊 {clanName}";"正\t式\t聯\t隊 {clanName}";;
"clan/blacklistAdd";"Add to Squadron Blacklist";"Ajouter à la liste noire de l'Escadron";"Aggiungi alla lista nera della Squadriglia";"Auf die Blockierliste der Kampfgruppe setzen";"Agregar a lista negra del escuadrón";"Добавить в чёрный список полка";"Dodaj do Czarnej Listy ";"Adicionar à lista negra do esquadrão";"Filo Kara Listesine Ekle";"비행대 차단목록에 추가합니다.";"添\t至\t联\t队\t黑\t名\t单";"部隊\tブラックリストに\t追加する";"增\t加\t到\t聯\t隊\t黑\t名\t單";;
"clan/blacklistAddSuccess";"Player added to Squadron Blacklist";"Joueur ajouté à la liste noire de l'Escadron";"Giocatore aggiunto alla lista nera della Squadriglia";"Spieler wurde der Blockierliste der Kampfgruppe hinzugefügt";"Jugador añadido a la lista negra del escuadrón";"Игрок добавлен в чёрный список полка";"Gracz został dodany do Czarnej Listy";"Jogador adicionado à lista negra do esquadrão";"Oyuncu Filo Kara Listesine Eklendi";"해당 플레이어가 비행대 차단목록에 추가되었습니다.";"已\t将\t玩\t家\t列\t入\t联\t队\t黑\t名\t单";"部隊\tブラックリストに\tプレイヤーを\t追加";"玩\t家\t已\t經\t加\t入\t聯\t隊\t黑\t名\t單";;
"clan/blacklistRemoveSuccess";"Player removed from Squadron Blacklist";"Joueur retiré de la liste noire de l'Escadron";"Giocatore rimosso dalla lista nera della Squadriglia";"Spieler wurde von der Blockierliste der Kampfgruppe entfernt";"Jugador retirado de la lista negra del escuadrón";"Игрок был удалён из чёрного списка полка";"Gracz został usunięty z Czarnej Listy";"Jogador removido da lista negra do esquadrão";"Oyuncu Filo Kara Listesinden Çıkarıldı";"해당 플레이어가 비행대 차단목록에서 삭제되었습니다.";"已\t将\t玩\t家\t从\t联\t队\t黑\t名\t单\t中\t移\t除";"部隊\tブラックリストから\tプレイヤーを\t削除";"已\t經\t將\t玩\t家\t從\t聯\t隊\t黑\t名\t單\t中\t移\t除";;
"clan/bannedDate";"Added";"Ajouté";"Aggiunto";"Hinzugefügt";"Añadido";"Добавлен";"Dodany";"Adicionado";"Eklendi";"추가된 날짜";"添\t加";"追加";"增\t加";;
"clan/blacklist";"Blacklist";"Liste noire";"Lista Nera";"Blockierliste";"Lista Negra";"Чёрный список";"Czarna lista";"Lista negra";"Kara Liste";"차단목록";"黑\t名\t单";"ブラックリスト";"黑\t名\t單";;
"clan/blacklistRowTooltip";"Was added for reason: <color=@userlogColoredText>{comments}</color>.";"A été ajouté pour cette raison : <color=@userlogColoredText>{comments}</color>.";"E' stato aggiunto per: <color=@userlogColoredText>{comments}</color>.";"Wurde von Spieler <color=@userlogColoredText>{name}</color> hinzugefügt. Begründung: <color=@userlogColoredText>{comments}</color>.";"Fue añadido por razón: <color=@userlogColoredText>{comments}</color>.";"Добавлен по причине: <color=@userlogColoredText>{comments}</color>.";"Został dodany z powodu: <color=@userlogColoredText>{comments}</color>.";"Foi adicionado pelo motivo: <color=@userlogColoredText>{comments}</color>.";"Eklenme sebebi: <color=@userlogColoredText>{comments}</color>.";"사유:  <color=@userlogColoredText>{comments}</color>.";"添\t加\t原\t因：\t<color=@userlogColoredText>{comments}</color>。";"プレイヤー<color=@userlogColoredText>{name}</color>によって\t追加されました。\t理由: <color=@userlogColoredText>{comments}</color>。";"因\t為\t以\t下\t原\t因\t被\t加\t入: <color=@userlogColoredText>{comments}</color>";;
"clan/admin_mode";"Moderation Mode";"Mode Modération";"Modalità moderazione";"Moderationsmodus";"Modo de moderación";"Режим модерирования";"Tryb Moderacji";"Modo de moderação";"Yönetici Modu";"관리자 모드";"管\t理\t员\t模\t式";"モデレートモード";"管\t理\t員\t模\t式";;
"clan/cancel_request";"Cancel Membership Application";"Annuler la demande d'adhésion";"Annullare la domanda di iscrizione";"Mitgliedsantrag zurückziehen";"Cancelar la solicitud de membresía";"Отменить запрос на вступление";"Anuluj aplikację członkowską";"Cancelar o pedido de adesão";"Üyelik Başvurusunu İptal Et";"전입 신청을 취소합니다.";"取\t消\t入\t队\t申\t请";"入隊申込を\t取り\t消す";"取\t消\t入\t隊\t申\t請";;
"clan/cancel_request_question";"Are you sure you want to cancel this membership application?";"Êtes-vous certain de vouloir annuler cette demande d'adhésion ?";"Sei sicuro di voler cancellare la domanda di iscrizione?";"Bist du sicher, dass du deinen Mitgliedsantrag zurückziehen willst?";"¿Está seguro de que desea cancelar esta solicitud de membresía?";"Вы уверены, что хотите отменить запрос на вступление?";"Czy na pewno chcesz anulować aplikację członkowską?";"Tem a certeza que deseja cancelar este pedido de adesão?";"Bu üyelik başvurusunu iptal etmek istediğinizden emin misiniz?";"전입 신청을 취소하시겠습니까?";"确\t定\t要\t取\t消\t入\t队\t申\t请\t吗？";"入隊申込を\t取り\t消してよろしいですか？";"確\t定\t要\t取\t消\t入\t隊\t申\t請\t嗎？";;
"msg/clan/clan_request_cancel_previous";"When a new application is sent, your previous application for membership in the squadron {prevClanName} will be cancelled.";"Lorsqu’une nouvelle demande d'adhésion est envoyée, votre demande d'adhésion précédente pour l'escadron {prevClanName} sera annulée.";"Quando viene inviata una nuova richiesta, quella precedente per la squadriglia {prevClanName} verrà annullata.";"Solltest du diese Bewerbung abschicken, wird deine vorangehende Bewerbung bei der Kampfgruppe {prevClanName} automatisch zurückgezogen.";"Cuando se envía una nueva solicitud, tu solicitud de membresía previa en el escuadrón {prevClanName} será cancelada.";"При подаче новой заявки ваша предыдущая заявка в полк {prevClanName} будет аннулирована.";"Po wysłaniu nowej aplikacji Twój poprzedni wniosek o członkostwo w dywizjonie {prevClanName} zostanie anulowany.";"Ao fazer um novo pedido de adesão, seu pedido anterior para o esquadrão {prevClanName} será cancelado.";"Yeni bir başvuru gönderildiğinde {prevClanName} filosundaki eski üyelik başvurunuz iptal edilecektir.";"새로운 가입신청을 하게 되면, 이전에 비행대 {prevClanName} 보낸 가입신청은 자동으로 취소됩니다.";"发\t送\t新\t的\t入\t队\t申\t请\t后，\t向\t联\t队 {prevClanName} 发\t起\t的\t申\t请\t将\t被\t取\t消。";"新たに\t入隊を\t申し\t込んだ\t場合、\t {prevClanName} 部隊への\t入隊申込は\t取り\t消されます。";"發\t送\t新\t的\t入\t隊\t申\t請\t後，\t向\t聯\t隊 {prevClanName} 發\t送\t的\t申\t請\t將\t被\t取\t消。";;
"clan/was_closed";"This Squadron is closed to new membership applications.";"Cet escadron est fermé aux nouvelles demandes d'adhésion.";"Questo squadrone non accetta nuove richieste di arruolamento.";"Diese Kampfgruppe akzeptiert zur Zeit keine Mitgliedsanträge.";"Este escuadrón está cerrado para nuevas solicitudes de membresía.";"Приём заявок на вступление в полк закрыт.";"Dywizjon ten jest zamknięty dla nowych członków.";"Este esquadrão está fechado para novos pedidos de adesão.";"Bu filo yeni üyelik başvurularına kapalı.";"이 비행대는 신규 전입 신청을 받지 않고 있습니다.";"联\t队\t拒\t绝\t入\t队\t申\t请。";"この\t部隊では\t新たな\t入隊希望者は\t現在募集していません。";"聯\t隊\t拒\t絕\t入\t隊\t申\t請。";;
"clan/was_opened";"This Squadron is open to new membership applications.";"Cet escadron est ouvert aux nouvelles demandes d'adhésion.";"Questo squadrone accetta nuove richieste di arruolamento.";"Diese Kampfgruppe ist offen für Bewerbungen auf Mitgliedschaft.";"Este escuadrón está abierto para nuevas solicitudes de membresía.";"Приём заявок на вступление в полк открыт.";"Dywizjon ten jest otwarty na nowe wnioski o członkostwo.";"Este esquadrão está aberto para novos pedidos de adesão.";"Bu filo yeni üyelik başvurularına açık.";"이 비행대는 신규 전입 신청을 받고 있습니다.";"联\t队\t接\t受\t入\t队\t申\t请。";"この\t部隊は\t新たな\t入隊希望者を\t受付中です。";"聯\t隊\t接\t受\t入\t隊\t申\t請。";;
